"","Model","F2021","Fmsy","F2021_Fmsy","SSBmsy","SSBMSST","SSB2021","SSB2021_SSBmsy","SSB2021_SSBMSST","CatchMSY"
"1","01_Base",0.016,0.59,0.03,5,3,11,2.2,3.67,2
"2","02_M1",0.013,0.49,0.03,6,4,14,2.33,3.5,3
"3","03_M2",0.015,0.61,0.02,5,3,12,2.4,4,3
"4","04_Linf1",0.012,0.78,0.02,6,4,16,2.67,4,3
"5","05_Linf2",0.011,0.45,0.02,6,4,15,2.5,3.75,3
"6","06_Steep1",0.012,0.45,0.03,7,4,14,2,3.5,3
"7","07_Steep2",0.016,0.67,0.02,4,3,11,2.75,3.67,2
"8","08_AlternateLH",0.008,0.39,0.02,7,4,19,2.71,4.75,4
"9","09_RecDev",0.015,0.56,0.03,6,4,12,2,3,3
"10","10_NoHistCatch",0.018,0.56,0.03,5,3,10,2,3.33,2
"11","11_NoHermaphro",0.015,0.49,0.03,3,2,7,2.33,3.5,3
