SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390
328,Acanthurus,Achilles tang,achilles,Achilles tang,Acanthuridae,0,0,0,0,0,0,0,0,0
5206,Acanthurus,Whitefin surgeonfish,albipectoralis,Whitefin surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
331,Naso,Whitemargin unicornfish,annulatus,Whitemargin unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
5116,Acanthurus,Orange-socket surgeonfish,auranticavus,Orange-socket surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
5253,Acanthurus,Black-spot surgeonfish,bariene,Black-spot surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3221,Ctenochaetus,Twospot bristletooth,binotatus,Twospot bristletooth,Acanthuridae,0,0,0,0,0,0,0,0,0
329,Acanthurus,Ringtail surgeonfish,blochii,Ringtail surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
333,Naso,Humpback unicornfish,brachycentron,Humpback unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
334,Naso,Spotted unicornfish,brevirostris,Spotted unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3312,Naso,Bluetail Unicornfish,caeruleacauda,Bluetail Unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
335,Naso,Gray unicornfish,caesius,Gray unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3201,Acanthurus,Eye-striped surgeonfish,dussumeiri,Eye-striped surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
5185,Acanthurus,Fine-lined surgeonfish,grammoptilus,Fine-lined surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
325,Acanthurus,Whitespotted surgeonfish,guttatus,Whitespotted surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
336,Naso,Black tongue unicornfish,hexacanthius,Black tongue unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3202,Acanthurus,Whitebar surgeonfish,leucopareius,Whitebar surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
321,Acanthurus,Blue-banded surgeonfish,lineatus,Blue-banded surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
332,Naso,Orangespine unicornfish,lituratus,Orangespine unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3209,Acanthurus,Spotted Face Surgeonfish,maculiceps,Spotted Face Surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3203,Acanthurus,Elongate surgeonfish,mata,Elongate surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3204,Acanthurus,Whitecheek surgeonfish,nigricans,Whitecheek surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3205,Acanthurus,Blackstreak surgeonfish,nigricauda,Blackstreak surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
326,Acanthurus,Brown surgeonfish,nigrofuscus,Brown surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3206,Acanthurus,Bluelined surgeonfish,nigroris,Bluelined surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3207,Acanthurus,Orange-spot surgeonfish,olivaceus,Orange-spot surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3208,Acanthurus,Mimic surgeonfish,pyorferus,Mimic surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
320,Acanthurus,Surgeonfishes/tangs,spp.,Surgeonfishes/tangs,Acanthuridae,0,0,0,0,0,0,0,0,0
327,Naso,Naso tangs,spp.,Naso tangs,Acanthuridae,0,0,0,0,0,0,0,0,0
330,Naso,Unicornfishes,spp.,Unicornfishes,Acanthuridae,0,0,0,0,0,0,0,0,0
322,Ctenochaetus,Striped bristletooth,striatus,Striped bristletooth,Acanthuridae,0,0,0,0,0,0,0,0,0
3222,Ctenochaetus,Yellow-eyed bristletooth,strigosus,Yellow-eyed bristletooth,Acanthuridae,0,0,0,0,0,0,0,0,0
337,Naso,Barred unicornfish,thynnoides,Barred unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
323,Acanthurus,Convict tang,triostegus,Convict tang,Acanthuridae,0,0,0,0,0,0,0,0,0
338,Naso,Humpnose unicornish,tuberosus,Humpnose unicornish,Acanthuridae,0,0,0,0,0,0,0,0,0
339,Naso,Bluespine unicornfish,unicornis,Bluespine unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
3281,Zebrasoma,Pacific sailfin tang,veliferum,Pacific sailfin tang,Acanthuridae,0,0,0,0,0,0,0,0,0
3311,Naso,Bignose unicornfish,vlamingii,Bignose unicornfish,Acanthuridae,0,0,0,0,0,0,0,0,0
324,Acanthurus,Yellowfin surgeonfish,xanthopterus,Yellowfin surgeonfish,Acanthuridae,0,0,0,0,0,0,0,0,0
1551,Alopias,Pelagic thresher shark,pelagicus,Pelagic thresher shark,Alopiidae,0,0,0,0,0,0,0,0,0
1552,Alopias,Bigeye thresher shark,superciliousus,Bigeye thresher shark,Alopiidae,0,0,0,0,0,0,0,0,0
155,Alopias,Thresher shark,vulpinus,Thresher shark,Alopiidae,0,0,0,0,0,0,0,0,0
710,Anguilla,Freshwater eel,marmorata,Freshwater eel,Anguillidae,0,0,0,0,0,0,0,0,0
187,Anomalops,Flashlightfish,kaptoptron,Flashlightfish,Anomalopidae,0,0,0,0,0,0,0,0,0
189,"Antennarius, Antennatus",Frogfishes,spp.,Frogfishes,Antennariidae,0,0,0,0,0,0,0,0,0
5231,Apogon,Samoan cardinalfish,fuscus,Samoan cardinalfish,Apogonidae,0,0,0,0,0,0,0,0,0
103,Hypoathernia,Silversides,temminckii,Silversides,Atherinidae,0,0,0,0,0,0,0,0,0
101,Aulostomus,Trumpetfish,chinensis,Trumpetfish,Aulostomidae,0,0,0,0,0,0,0,0,0
603,Megaptera,Humpback whale,novaeangliae,Humpback whale,Balaenopteridae,0,0,0,0,0,0,0,0,0
3841,Rhinecanthus,Picassofish,aculeatus,Picassofish,Balistidae,0,0,0,0,0,0,0,0,0
5245,Sufflamen,Boomerang/Scythe triggerfi,bursa,Boomerang/Scythe triggerfi,Balistidae,0,0,0,0,0,0,0,0,0
382,Balistoides,Clown triggerfish,conspicillum,Clown triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
5140,Pseudobalistes,Yellowmargin triggerfish,flavimarginatus,Yellowmargin triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
3825,Sufflamen,Bridled triggerfish,freanatum,Bridled triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
3824,Pseudobalistes,Blue triggerfish,fuscus,Blue triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
3823,Melichthys,Black triggerfish,Niger,Black triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
384,Balistoides,Wedged picassofish,rectangulus,Wedged picassofish,Balistidae,0,0,0,0,0,0,0,0,0
5242,Abalistes,Starry triggerfish,stellatus,Starry triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
3821,Balistapus,Orangestripe triggerfish,undulatus,Orangestripe triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
3822,Melichthys,Pinktail triggerfish,vidua,Pinktail triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
387,Balistoides,Titan triggerfish,viridescens,Titan triggerfish,Balistidae,0,0,0,0,0,0,0,0,0
5146,Platybelone,Keeltail needlefish,argalus,Keeltail needlefish,Belonidae,0,0,0,0,0,0,0,0,0
5145,Stongylura,Reef needlefish,incisa,Reef needlefish,Belonidae,0,0,0,0,0,0,0,0,0
3051,Asterorhombus,Angler flatfish,fijiensis,Angler flatfish,Bothidae,0,0,0,0,0,0,0,0,0
5210,Bothus,Leopard flounder,mancus,Leopard flounder,Bothidae,0,0,0,0,0,0,0,0,0
3855,Taractichthys,Monchong,steindachneri,Monchong,Bramidae,0,0,1,0,0,0,0,0,0
293,Tarachtichthys,Pomfret,steindachneri,Pomfret,Bramidae,0,0,1,0,0,0,0,0,0
554,Brissus,Heart sea urchin,latecarinatus,Heart sea urchin,Brissidae,0,0,0,0,0,0,0,0,0
557,Brissus,Heart sea urchin insides,spp.,Heart sea urchin insides,Brissidae,0,0,0,0,0,0,0,0,0
107,Caesio,Scissortail fusilier,caerulaurea,Scissortail fusilier,Caesionidae,0,0,0,0,0,0,0,0,0
3856,Caesio,Blue and Yellow Fusilier,teres,Blue and Yellow Fusilier,Caesionidae,0,0,0,0,0,0,0,0,0
3857,Caesio,Variable-lined fusilier,varilineata,Variable-lined fusilier,Caesionidae,0,0,0,0,0,0,0,0,0
186,Caracanthus,Coral crouchers,unipinna,Coral crouchers,Caracanthidae,0,0,0,0,0,0,0,0,0
5214,Trachinotus,Small spotted dart,bailonii,Small spotted dart,Carangidae,1,1,1,0,0,0,0,0,0
410,Elagatis,Rainbow runner,bipinnulatus,Rainbow runner,Carangidae,1,1,1,0,0,0,0,0,0
127,Trachinotus,Snubnose pompano,blochii,Snubnose pompano,Carangidae,1,1,1,0,0,0,0,0,0
5248,Caranx,Bluespotted trevally,bucculentus,Bluespotted trevally,Carangidae,1,1,1,0,0,0,0,0,0
116,Carangoides,Blue kingfish trevally,caeruleopinnatus,Blue kingfish trevally,Carangidae,1,1,1,0,0,0,0,0,0
5246,Carangoides,Longnose trevally,chrysophrys,Longnose trevally,Carangidae,1,1,1,0,0,0,0,0,0
102,Selar,Bigeye scad,crumenophthalmus,Bigeye scad,Carangidae,0,0,0,0,0,0,0,0,0
5233,Pseudocaranx,Silver trevally,dentex,Silver trevally,Carangidae,1,1,1,0,0,0,0,0,0
126,Seriola,Greater amberjack,dumerilii,Greater amberjack,Carangidae,1,1,1,0,0,0,0,0,0
5258,Uraspis,Whitetongue jack,helvola,Whitetongue jack,Carangidae,1,1,1,0,0,0,0,0,0
119,Caranx,Giant trevally,ignoblis,Giant trevally,Carangidae,1,1,1,0,0,0,0,0,0
5265,Seriola,Yellowtail amberjack,lalandi,Yellowtail amberjack,Carangidae,1,1,1,0,0,0,0,0,0
5247,Selaroides,Yellowstripe scad,leptolepis,Yellowstripe scad,Carangidae,0,0,0,0,0,0,0,0,0
111,Caranx,Black jack,lugubris,Black jack,Carangidae,1,1,1,0,0,0,0,0,0
106,Scomberoides,"Leatherback, Double-spot Q",lysan,"Leatherback, Double-spot Q",Carangidae,1,1,1,0,0,0,0,0,0
104,Decapterus,Mackerel scad (opelu),macarellus,Mackerel scad (opelu),Carangidae,0,0,0,0,0,0,0,0,0
113,Caranx,Bluefin trevally,melampygus,Bluefin trevally,Carangidae,1,1,1,0,0,0,0,0,0
114,Carangoides,Goldspot trevally,orthogrammus,Goldspot trevally,Carangidae,1,1,1,0,0,0,0,0,0
115,Caranx,Brassy trevally,papuensis,Brassy trevally,Carangidae,1,1,1,0,0,0,0,0,0
118,Seriola,Amberjack,rivoliana,Amberjack,Carangidae,1,1,1,0,0,0,0,0,0
5159,Decapterus,Indian scad,russelli,Indian scad,Carangidae,0,0,0,0,0,0,0,0,0
117,Uraspis,Whitemouth trevally,secunda,Whitemouth trevally,Carangidae,1,1,1,0,0,0,0,0,0
112,Caranx,Bigeye trevally,sexfasciatus,Bigeye trevally,Carangidae,1,1,1,0,0,0,0,0,0
5173,Gnathanodon,Golden trevally,speciosus,Golden trevally,Carangidae,1,1,1,0,0,0,0,0,0
5224,Caranx,Tille trevally,tille,Tille trevally,Carangidae,1,1,1,0,0,0,0,0,0
1541,Carcharhinus,Silvertip shark,albimarginatus,Silvertip shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
1542,Carcharhinus,Grey reef shark,amblyrhynchos,Grey reef shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
159,Galeocerdo,Tiger shark,cuvier,Tiger shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
157,Carcharhinus,Silky shark,falciformis,Silky shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
1543,Carcharhinus,Galapagos shark,galapagenis,Galapagos shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
151,Prionace,Blue shark,glauca,Blue shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
156,Carcharhinus,White tip oceanic shark,longimanus,White tip oceanic shark,Carcharhinidae,0,0,0,0,0,0,0,0,0
