AREA_PK,NAME,VILLAGE_F,PRIMARY_AREA_FK,SAMPLE_AREA_F,REMARKS,SYS_CREATE_TIME,LOAD_TABLE,LOAD_DATETIME,LOAD_USER
0,NULL,T,30,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
1,SWAIN'S ISLAND (OFFSHORE),F,1,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
2,TUTUILA NORTH,F,2,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
3,TUTUILA SOUTH,F,3,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
4,EASTERN AREA,F,4,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
5,MANU'A NORTH,F,5,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
6,MANU'A SOUTH,F,6,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
7,ROSE NORTH,F,7,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
8,ROSE SOUTH,F,8,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
9,LOCAL (TUTUILA & AUNUU),F,9,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
10,MANU'A GENERAL AREA,F,10,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
11,SOUTH BANK,F,11,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
12,EAST BANK,F,12,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
13,2% Bank,F,13,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
14,WESTERN AREA,F,14,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
15,SOUTHEAST BANK,F,15,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
17,NORTHEAST BANK,F,17,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
21,SWAINS ISLAND INSHORE,F,21,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
30,IMPORTED FROM,F,30,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
31,TAPUTAPU AREA,F,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
32,TAPUTAPU TO VATIA,F,32,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
33,TAPUTAPU TO PAGO PAGO,F,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
34,VATIA TO MATATULA,F,34,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
35,PAGO PAGO TO MATATULA,F,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
36,MATATULA-AUNU'U AREA,F,36,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
37,DUMPSITE (CANNERY),F,37,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
41,NORTH OFU-OLOSEGA,F,41,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
42,SOUTH OFU-OLOSEGA,F,42,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
43,OFU-OLOSEGA TO TA'U,F,43,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
44,NORTH TA'U,F,44,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
45,SOUTH TA'U,F,45,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
51,ROSE ISLAND INSHORE,F,51,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
60,WESTERN SAMOA,F,30,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
70,TONGAN ISLANDS,F,30,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
77,SIMULATED,F,77,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
80,KIRIBATI,F,30,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
90,CANNERIES,F,90,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
98,UNKNOWN IMPORT AREA,F,30,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
99,UNKNOWN,F,0,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
100,UNKNOWN VILLAGE,T,9,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
101,AMANAVE,T,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
102,FAILOLO,T,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
103,AGAGULU,T,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
104,UTUMEA WEST,T,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
105,SE'ETAGA,T,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
106,NUA,T,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
107,AFAO,T,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
108,ASILI,T,31,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
109,AMALUIA,T,31,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
110,LEONE,T,33,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
111,VAILOA,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
112,TAPUTIMU,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
113,FUTIGA,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
114,VAITOGI,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
115,ILI'ILI,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
116,TAFUNA,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
117,NU'UULI,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
118,FAGANEANEA,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
119,MATU'U,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
120,FATUMAFUTI,T,33,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
121,FAGA'ALU,T,33,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
122,UTULEI,T,33,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
123,FAGATOGO (MARINA DOCK),T,33,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
124,PAGO PAGO,T,32,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
125,ANUA,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
126,ATUU,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
127,LELOALOA,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
128,AUA,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
129,LAULI'I,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
130,AUMI,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
131,ALEGA,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
132,AVAIO,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
133,AUTO,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
134,AMAUA,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
135,FAGAITUA,T,35,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
136,PAGAI,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
137,ALOFAU,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
138,AMOULI,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
139,AUASI,T,35,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
140,UTUMEA EAST,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
141,ALAO,T,35,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
142,TULA,T,34,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
143,ONENOA,T,34,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
144,AOA,T,34,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
145,SAILELE,T,34,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
146,MASAUSI,T,34,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
147,MASEFAU,T,34,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
148,AFONO,T,34,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
149,VATIA,T,32,T,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
150,PAGO PAGO - N. SHORE,T,32,F,NULL,3/6/2018 9:46,A_AREA,3/6/2018 9:46,data_loader
