SPECIES_PK,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,FAMILY,Trevally_109,Jacks_110,Bottomfishes_200,Groupers_210,Deep_snappers_230,Prist_Etelis_240,Emporers_260,Inshore_groupers_380,Inshore_snappers_390,Fish_100
0,No Catch,No Catch,No Catch,No Catch,No Catch,0,0,0,0,0,0,0,0,0,0
100,Fishes (unknown),Fishes (unknown),Fishes (unknown),Fishes (unknown),Multi-family,0,0,0,0,0,0,0,0,0,1
101,Aulostomus,Trumpetfish,chinensis,Trumpetfish,Aulostomidae,0,0,0,0,0,0,0,0,0,1
102,Selar,Bigeye scad,crumenophthalmus,Bigeye scad,Carangidae,0,0,0,0,0,0,0,0,0,1
103,Hypoathernia,Silversides,temminckii,Silversides,Atherinidae,0,0,0,0,0,0,0,0,0,1
104,Decapterus,Mackerel scad (opelu),macarellus,Mackerel scad (opelu),Carangidae,0,0,0,0,0,0,0,0,0,1
106,Scomberoides,"Leatherback, Double-spot Q",lysan,"Leatherback, Double-spot Q",Carangidae,1,1,1,0,0,0,0,0,0,1
107,Caesio,Scissortail fusilier,caerulaurea,Scissortail fusilier,Caesionidae,0,0,0,0,0,0,0,0,0,1
108,Rastrelliger,Mackerel,brachysoma,Mackerel,Scombridae,0,0,0,0,0,0,0,0,0,1
109,Multi-genera,Trevallies,Multi-species,Trevallies,Carangidae,1,1,1,0,0,0,0,0,0,1
110,Multi-species,Jacks,Multi-species,Jacks,Carangidae,1,1,1,0,0,0,0,0,0,1
111,Caranx,Black jack,lugubris,Black jack,Carangidae,1,1,1,0,0,0,0,0,0,1
112,Caranx,Bigeye trevally,sexfasciatus,Bigeye trevally,Carangidae,1,1,1,0,0,0,0,0,0,1
113,Caranx,Bluefin trevally,melampygus,Bluefin trevally,Carangidae,1,1,1,0,0,0,0,0,0,1
114,Carangoides,Goldspot trevally,orthogrammus,Goldspot trevally,Carangidae,1,1,1,0,0,0,0,0,0,1
115,Caranx,Brassy trevally,papuensis,Brassy trevally,Carangidae,1,1,1,0,0,0,0,0,0,1
116,Carangoides,Blue kingfish trevally,caeruleopinnatus,Blue kingfish trevally,Carangidae,1,1,1,0,0,0,0,0,0,1
117,Uraspis,Whitemouth trevally,secunda,Whitemouth trevally,Carangidae,1,1,1,0,0,0,0,0,0,1
118,Seriola,Amberjack,rivoliana,Amberjack,Carangidae,1,1,1,0,0,0,0,0,0,1
119,Caranx,Giant trevally,ignoblis,Giant trevally,Carangidae,1,1,1,0,0,0,0,0,0,1
120,Sphyraena,Barracudas,spp.,Barracudas,Sphyraenidae,0,0,0,0,0,0,0,0,0,1
121,Sphyraena,Great barracuda,barracuda,Great barracuda,Sphyraenidae,0,0,0,0,0,0,0,0,0,1
122,Sphyraena,Small barracudas,spp.,Small barracudas,Sphyraenidae,0,0,0,0,0,0,0,0,0,1
123,Sphyraena,Bigeye barracuda,forsteri,Bigeye barracuda,Sphyraenidae,0,0,0,0,0,0,0,0,0,1
124,Sphyraena,Heller's barracuda,helleri,Heller's barracuda,Sphyraenidae,0,0,0,0,0,0,0,0,0,1
125,Sphyraena,Blackfin barracuda,qenie,Blackfin barracuda,Sphyraenidae,0,0,0,0,0,0,0,0,0,1
126,Seriola,Greater amberjack,dumerilii,Greater amberjack,Carangidae,1,1,1,0,0,0,0,0,0,1
127,Trachinotus,Snubnose pompano,blochii,Snubnose pompano,Carangidae,1,1,1,0,0,0,0,0,0,1
130,Mugil,Mullets,cephalus,Mullets,Mugilidae,0,0,0,0,0,0,0,0,0,1
131,Herklotsichthys,Herrings,quadrimaculatus,Herrings,Clupeidae,0,0,0,0,0,0,0,0,0,1
132,"Exocoetus, Cheilopogon",Flyingfishes,spp.,Flyingfishes,Exocoetidae,0,0,0,0,0,0,0,0,0,1
133,Fistularia,Cornetfish,commersonii,Cornetfish,Fistulariidae,0,0,0,0,0,0,0,0,0,1
134,Multi-genera,Needlefishes,Multi-species,Needlefishes,Belonidae,0,0,0,0,0,0,0,0,0,1
135,Gerres,Mojarras,spp.,Mojarras,Gerreidae,0,0,0,0,0,0,0,0,0,1
136,Hemiramphus,Halfbeaks,spp.,Halfbeaks,Hemirhamphidae,0,0,0,0,0,0,0,0,0,1
138,Multi-genera,Filefishes,Multi-species,Filefishes,Monacanthidae,0,0,0,0,0,0,0,0,0,1
139,Monodactylus,Silver batfish,argenteus,Silver batfish,Monodactylidae,0,0,0,0,0,0,0,0,0,1
140,Polydactylus,Threadfins,"sexfilis, plebeius",Threadfins,Polynemidae,0,0,0,0,0,0,0,0,0,1
141,Lactoria,Trunkfishes,spp.,Trunkfishes,Ostraciidae,0,0,0,0,0,0,0,0,0,1
142,Dascyllus,Damselfish,trimaculatus,Damselfish,Pomacentridae,0,0,0,0,0,0,0,0,0,1
143,Centropyge,Angelfish,flavissima,Angelfish,Pomacanthidae,0,0,0,0,0,0,0,0,0,1
145,Synaceia,Stonefishes,spp.,Stonefishes,Scorpaenidae,0,0,0,0,0,0,0,0,0,1
146,Pterois,Lionfishes,spp.,Lionfishes,Scorpaenidae,0,0,0,0,0,0,0,0,0,1
147,"Saurida, Synodus",Lizardfishes,spp.,Lizardfishes,Synodontidae,0,0,0,0,0,0,0,0,0,1
