Year,ENSO,Mon,month_num
1988,0.45,Jan,1
1989,-1.075,Jan,1
1990,0.275,Jan,1
1991,0.12,Jan,1
1992,1.645,Jan,1
1993,0.88,Jan,1
1994,-0.075,Jan,1
1995,0.625,Jan,1
1996,-0.82,Jan,1
1997,-0.69,Jan,1
1998,2.33,Jan,1
1999,-1.22,Jan,1
2000,-1.265,Jan,1
2001,-0.845,Jan,1
2002,-0.095,Jan,1
2003,0.71,Jan,1
2004,0.06,Jan,1
2005,0.345,Jan,1
2006,-0.59,Jan,1
2007,0.505,Jan,1
2008,-1.175,Jan,1
2009,-0.93,Jan,1
2010,1.105,Jan,1
2011,-1.73,Jan,1
2012,-0.875,Jan,1
2013,-0.06,Jan,1
2014,-0.47,Jan,1
2015,0.14,Jan,1
2016,1.875,Jan,1
2017,-0.41,Jan,1
2018,-0.735,Jan,1
2019,0.3,Jan,1
2020,0.295,Jan,1
1988,0.25,Feb,2
1989,-1.13,Feb,2
1990,0.52,Feb,2
1991,0.145,Feb,2
1992,1.655,Feb,2
1993,0.855,Feb,2
1994,-0.19,Feb,2
1995,0.31,Feb,2
1996,-0.725,Feb,2
1997,-0.505,Feb,2
1998,2.35,Feb,2
1999,-1.145,Feb,2
2000,-1.315,Feb,2
2001,-0.83,Feb,2
2002,-0.23,Feb,2
2003,0.575,Feb,2
2004,-0.24,Feb,2
2005,0.715,Feb,2
2006,-0.555,Feb,2
2007,0.085,Feb,2
2008,-1.405,Feb,2
2009,-0.895,Feb,2
2010,1.295,Feb,2
2011,-1.71,Feb,2
2012,-0.63,Feb,2
2013,-0.105,Feb,2
2014,-0.255,Feb,2
2015,0.09,Feb,2
2016,1.56,Feb,2
2017,-0.495,Feb,2
2018,-0.745,Feb,2
2019,0.645,Feb,2
2020,0.225,Feb,2
1988,0.09,Mar,3
1989,-1.145,Mar,3
1990,0.39,Mar,3
1991,0.21,Mar,3
1992,1.85,Mar,3
1993,0.88,Mar,3
1994,-0.09,Mar,3
1995,0.16,Mar,3
1996,-0.665,Mar,3
1997,-0.06,Mar,3
1998,2.41,Mar,3
1999,-1.14,Mar,3
2000,-1.145,Mar,3
2001,-0.7,Mar,3
2002,-0.28,Mar,3
2003,0.225,Mar,3
2004,-0.335,Mar,3
2005,0.475,Mar,3
2006,-0.725,Mar,3
2007,-0.29,Mar,3
2008,-1.335,Mar,3
2009,-0.875,Mar,3
2010,0.9,Mar,3
2011,-1.765,Mar,3
2012,-0.51,Mar,3
2013,-0.255,Mar,3
2014,-0.12,Mar,3
2015,0.24,Mar,3
2016,1.32,Mar,3
2017,-0.395,Mar,3
2018,-1.04,Mar,3
2019,0.55,Mar,3
2020,0.02,Mar,3
1988,-0.185,Apr,4
1989,-1.065,Apr,4
1990,0.1,Apr,4
1991,0.28,Apr,4
1992,1.835,Apr,4
1993,1.23,Apr,4
1994,0.015,Apr,4
1995,0.17,Apr,4
1996,-0.76,Apr,4
1997,0.425,Apr,4
1998,2.405,Apr,4
1999,-1.265,Apr,4
2000,-0.95,Apr,4
2001,-0.595,Apr,4
2002,-0.23,Apr,4
2003,-0.325,Apr,4
2004,-0.335,Apr,4
2005,0.155,Apr,4
2006,-0.635,Apr,4
2007,-0.4,Apr,4
2008,-1.055,Apr,4
2009,-0.765,Apr,4
2010,0.16,Apr,4
2011,-1.515,Apr,4
2012,-0.39,Apr,4
2013,-0.54,Apr,4
2014,-0.17,Apr,4
2015,0.655,Apr,4
2016,1.295,Apr,4
2017,-0.02,Apr,4
2018,-1.1,Apr,4
2019,0.295,Apr,4
2020,-0.175,Apr,4
1988,-0.775,May,5
1989,-1.03,May,5
1990,0.035,May,5
1991,0.62,May,5
1992,1.635,May,5
1993,1.49,May,5
1994,0.125,May,5
1995,0.08,May,5
1996,-0.865,May,5
