DATASET,AREA_RAW,AREA,AREA_2BANKS,AREA_WIND,AREA_WEIGHT,AREA_TEMP,NOTE
BBS,1,Atoll,Swains,NotApp,0,1,SWAIN'S ISLAND (OFFSHORE)
BBS,7,Atoll,Rose,NotApp,0,7,ROSE NORTH
BBS,8,Atoll,Rose,NotApp,0,8,ROSE SOUTH
BBS,21,Atoll,Swains,NotApp,0,21,SWAINS ISLAND INSHORE
BBS,51,Atoll,Rose,NotApp,0,51,ROSE ISLAND INSHORE
BBS,4,Bank,Bank_E,tutu,0,4,EASTERN AREA
BBS,11,Bank,Bank_S,tutu,0,11,SOUTH BANK
BBS,12,Bank,Bank_E,tutu,0,12,EAST BANK
BBS,13,Bank,Bank_E,tutu,0,13,2% Bank
BBS,14,Bank,Bank_E,tutu,0,14,WESTERN AREA
BBS,15,Bank,Bank_E,tutu,0,15,SOUTHEAST BANK
BBS,17,Bank,Bank_E,tutu,0,17,NORTHEAST BANK
BBS,5,Manua,Manua,manu,0.2,5,MANU'A NORTH
BBS,6,Manua,Manua,manu,0.2,6,MANU'A SOUTH
BBS,10,Manua,Manua,manu,0.2,10,MANU'A GENERAL AREA
BBS,41,Manua,Manua,manu,0.2,41,NORTH OFU-OLOSEGA
BBS,42,Manua,Manua,manu,0.2,42,SOUTH OFU-OLOSEGA
BBS,43,Manua,Manua,manu,0.2,43,OFU-OLOSEGA TO TA'U
BBS,44,Manua,Manua,manu,0.2,44,NORTH TA'U
BBS,45,Manua,Manua,manu,0.2,45,SOUTH TA'U
BBS,160,Manua,Manua,manu,0.2,10,"TAU VILLAGE, MANU'A"
BBS,161,Manua,Manua,manu,0.2,10,"OLOSEGA VILLAGE, MANU'A"
BBS,162,Manua,Manua,manu,0.2,10,"OFU - NORTH & SOUTH, MANU'A"
BBS,163,Manua,Manua,manu,0.2,10,"FITIUTA, TAU, MANU'A"
BBS,164,Manua,Manua,manu,0.2,10,"TAU SOUTH, MANUA"
BBS,165,Manua,Manua,manu,0.2,10,"FALEASAO, TAU, MANUA"
BBS,166,Manua,Manua,manu,0.2,10,"OFU - NORTH, MANUA"
BBS,167,Manua,Manua,manu,0.2,10,"OFU - SOUTH, MANUA"
BBS,168,Manua,Manua,manu,0.2,10,"AIRPORT, OFU, MANUA"
BBS,169,Manua,Manua,manu,0.2,10,"SILI, OLOSEGA, MANUA"
BBS,183,Manua,Manua,manu,0.2,10,"SUIFAGA, TAU, MANUA"
BBS,184,Manua,Manua,manu,0.2,10,TAU WHARF
BBS,185,Manua,Manua,manu,0.2,10,TAU LUMA
BBS,2,Tut_North,Tut_North,tutu,0.4,2,TUTUILA NORTH
BBS,31,Tut_North,Tut_North,tutu,0.4,31,TAPUTAPU AREA
BBS,32,Tut_North,Tut_North,tutu,0.4,32,TAPUTAPU TO VATIA
BBS,34,Tut_North,Tut_North,tutu,0.4,34,VATIA TO MATATULA
BBS,101,Tut_North,Tut_North,tutu,0.4,31,AMANAVE
BBS,102,Tut_North,Tut_North,tutu,0.4,31,FAILOLO
BBS,103,Tut_North,Tut_North,tutu,0.4,31,AGAGULU
BBS,104,Tut_North,Tut_North,tutu,0.4,31,UTUMEA WEST
BBS,105,Tut_North,Tut_North,tutu,0.4,31,SE'ETAGA
BBS,106,Tut_North,Tut_North,tutu,0.4,31,NUA
BBS,107,Tut_North,Tut_North,tutu,0.4,31,AFAO
BBS,108,Tut_North,Tut_North,tutu,0.4,31,ASILI
BBS,109,Tut_North,Tut_North,tutu,0.4,31,AMALUIA
BBS,124,Tut_North,Tut_North,tutu,0.4,32,PAGO PAGO
BBS,142,Tut_North,Tut_North,tutu,0.4,34,TULA
BBS,143,Tut_North,Tut_North,tutu,0.4,34,ONENOA
BBS,144,Tut_North,Tut_North,tutu,0.4,34,AOA
BBS,145,Tut_North,Tut_North,tutu,0.4,34,SAILELE
BBS,146,Tut_North,Tut_North,tutu,0.4,34,MASAUSI
BBS,147,Tut_North,Tut_North,tutu,0.4,34,MASEFAU
BBS,148,Tut_North,Tut_North,tutu,0.4,34,AFONO
BBS,149,Tut_North,Tut_North,tutu,0.4,32,VATIA
BBS,150,Tut_North,Tut_North,tutu,0.4,32,PAGO PAGO - N. SHORE
BBS,151,Tut_North,Tut_North,tutu,0.4,32,FAGASA
BBS,152,Tut_North,Tut_North,tutu,0.4,32,AASU
BBS,153,Tut_North,Tut_North,tutu,0.4,32,ALOAU
BBS,154,Tut_North,Tut_North,tutu,0.4,31,FAGAMALO
BBS,155,Tut_North,Tut_North,tutu,0.4,31,MALOATA
BBS,156,Tut_North,Tut_North,tutu,0.4,31,FAGALII
