Year,ONI,Mon,month_num
1988,0.54,Jan,1
1989,-1.43,Jan,1
1990,0.21,Jan,1
1991,0.26,Jan,1
1992,1.63,Jan,1
1993,0.3,Jan,1
1994,0.07,Jan,1
1995,0.72,Jan,1
1996,-0.75,Jan,1
1997,-0.36,Jan,1
1998,1.93,Jan,1
1999,-1.3,Jan,1
2000,-1.41,Jan,1
2001,-0.52,Jan,1
2002,0.03,Jan,1
2003,0.63,Jan,1
2004,0.31,Jan,1
2005,0.58,Jan,1
2006,-0.77,Jan,1
2007,0.22,Jan,1
2008,-1.52,Jan,1
2009,-0.79,Jan,1
2010,1.22,Jan,1
2011,-1.19,Jan,1
2012,-0.72,Jan,1
2013,-0.43,Jan,1
2014,-0.46,Jan,1
2015,0.47,Jan,1
2016,2.14,Jan,1
2017,-0.16,Jan,1
2018,-0.85,Jan,1
2019,0.72,Jan,1
2020,0.48,Jan,1
1988,0.54,Feb,2
1989,-1.43,Feb,2
1990,0.21,Feb,2
1991,0.26,Feb,2
1992,1.63,Feb,2
1993,0.3,Feb,2
1994,0.07,Feb,2
1995,0.72,Feb,2
1996,-0.75,Feb,2
1997,-0.36,Feb,2
1998,1.93,Feb,2
1999,-1.3,Feb,2
2000,-1.41,Feb,2
2001,-0.52,Feb,2
2002,0.03,Feb,2
2003,0.63,Feb,2
2004,0.31,Feb,2
2005,0.58,Feb,2
2006,-0.77,Feb,2
2007,0.22,Feb,2
2008,-1.52,Feb,2
2009,-0.79,Feb,2
2010,1.22,Feb,2
2011,-1.19,Feb,2
2012,-0.72,Feb,2
2013,-0.43,Feb,2
2014,-0.46,Feb,2
2015,0.47,Feb,2
2016,2.14,Feb,2
2017,-0.16,Feb,2
2018,-0.85,Feb,2
2019,0.72,Feb,2
2020,0.48,Feb,2
1988,0.54,Mar,3
1989,-1.43,Mar,3
1990,0.21,Mar,3
1991,0.26,Mar,3
1992,1.63,Mar,3
1993,0.3,Mar,3
1994,0.07,Mar,3
1995,0.72,Mar,3
1996,-0.75,Mar,3
1997,-0.36,Mar,3
1998,1.93,Mar,3
1999,-1.3,Mar,3
2000,-1.41,Mar,3
2001,-0.52,Mar,3
2002,0.03,Mar,3
