METHOD_PK,NAME,TYPE,REMARKS,SYS_CREATE_TIME,SYS_MODIFY_TIME,LOAD_TABLE,LOAD_DATETIME,LOAD_USER
0,NULL,N,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
1,BLANK,O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
2,TROLL,O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
3,GLEANING,I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
4,BOTTOMFISHING,O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
5,"BTM/TRL MIX",O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
6,"SPEAR (BOAT-NO TANKS)",O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
8,ATULE-MIXED,O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
16,LONGLINE,O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
19,"BEGIN RUN",B,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
20,"BAMBOO POLE",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
21,"GILL NET - ACTIVE",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
22,"GILL NET - PASSIVE",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
23,HANDLINE,I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
24,"OTHER SHORE BASED",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
25,"PALOLO FISHING",O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
26,"ROD AND REEL",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
27,"SAND MINING",N,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
28,"SPEAR - SNORKEL",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
29,"DIVING - SCUBA",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
30,"THROW NET",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
31,"ENU (TRAPS)",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
32,"SWIMMING - (NO FISHING)",N,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
33,"END RUN",B,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
34,"MOSQUITO NET",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
35,"MIXED INSHORE",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
36,"GILLNET - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
37,"TROLL - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
38,"DIVING - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
39,"SIENING - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
40,"HANDLINE - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
41,HARPOON,I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
42,"HARPOON - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
43,"WEIR FISHING",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
44,POISON/DYNAMITE,I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
45,"THROW NET - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
46,"GLEANING - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
47,"ALIA - BOTTOMFISHING",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
48,"BAMBOO POLE - BOAT",I,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
49,"VERT. LONGLINE",O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
50,"BTM/TROLL + SPEAR",O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
61,"SPEAR (BOAT-TANKS)",O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
62,"SPEAR (BOAT-W/WO TANKS)",O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
99,"UNKNOWN - BOAT BASED",O,NULL,"2021-09-02 15:06:17",NULL,A_METHOD,"2021-09-02 15:06:17",data_loader
