SPECIES_PK,LL_SPECIES,GENUS,SPECIES,SCIENTIFIC_NAME,COMMON_NAME,LOCAL_NAME,FAMILY,ABBREVIATION,FUS_CODE,FACTOR_A,FACTOR_B,NUM_SAMPLES,MAX_LEN,MIN_LEN,MAX_PRLB_IMPORT,MIN_PRLB_IMPORT,MAX_PRLB_DOMESTIC,MIN_PRLB_DOMESTIC,MAX_LB_FISH,MIN_LB_FISH,AVG_LB_FISH,MAX_CAUGHT_1000HOOKS,ENTRY_NAME,REMARKS,SYS_CREATE_TIME,SYS_MODIFY_TIME,LOAD_TABLE,LOAD_DATETIME,LOAD_USER
0,0,"No Catch","No Catch","No Catch","No Catch","No Catch","No Catch",NULL,0,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"No Catch",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
100,33,"Fishes (unknown)","Fishes (unknown)","Fishes (unknown)","Fishes (unknown)","Other fish","Fishes (unknown)",NULL,5261,0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,0.00,72.00,0.31,8.80,0.00,"Fishes (unknown)",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
101,0,Aulostomus,Trumpetfish,chinensis,Trumpetfish,"Taoto ena",Aulostomidae,NULL,5261,19.236,2.708,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Trumpetfish,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
102,0,Selar,"Bigeye scad",crumenophthalmus,"Bigeye scad",Atule,Carangidae,NULL,130,17.951,3.007,0,0.00,0.00,0.00,0.00,2.86,1.00,0.50,0.10,0.22,0.00,"Scad, Bigeye",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
103,0,Hypoathernia,Silversides,temminckii,Silversides,Sali,Atherinidae,NULL,5261,19.813,3.334,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Silversides,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
104,0,Decapterus,"Mackerel scad (opelu)",macarellus,"Mackerel scad (opelu)",Atuleau,Carangidae,NULL,2160,15.150,2.439,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Scad, Mackerel (opelu)",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
105,0,Multi-genera,Blennies,Multi-species,Blennies,"Manoo (Blennies)",Blennidae,NULL,5300,17.424,2.793,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Blennies,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
106,0,Scomberoides,"Leatherback, Double-spot Q",lysan,"Leatherback, Double-spot Q",Lai,Carangidae,NULL,2996,17.762,2.856,0,0.00,0.00,0.00,0.00,2.18,0.78,0.00,0.00,0.00,0.00,Leatherback,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
107,0,Caesio,"Scissortail fusilier",caerulaurea,"Scissortail fusilier","Atule toto (Gold banded)",Caesionidae,NULL,5261,19.524,3.315,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fusilier, Gold banded",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
108,0,Rastrelliger,Mackerel,brachysoma,Mackerel,Ga,Scombridae,COM,4656,17.420,2.904,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mackerel,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
109,0,Multi-genera,Trevallies,Multi-species,Trevallies,Lalafutu,Carangidae,NULL,1799,17.362,2.921,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Trevallies (Assorted)",NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
110,0,Multi-species,Jacks,Multi-species,Jacks,"Lupoka, Ulua",Carangidae,NULL,1799,17.326,2.921,0,0.00,0.00,0.00,0.00,0.00,0.00,20.76,0.19,3.18,0.00,Jacks,NULL,"2021-09-02 15:06:18",NULL,A_SPEC,"2021-09-02 15:06:18",data_loader
