"SPECIES_FK","SCIENTIFIC_NAME","COMMON_NAME","LOCAL_NAME"
"0","No Catch No Catch","No Catch","No Catch"
"100","Fishes (unknown) Fishes (unknown)","Fishes (unknown)","Other fish"
"101","Aulostomus chinensis","Trumpetfish","Taoto ena"
"102","Selar crumenophthalmus","Bigeye scad","Atule"
"104","Decapterus macarellus","Mackerel scad (opelu)","Atuleau"
"106","Scomberoides lysan","Leatherback, Double-spot Q","Lai"
"107","Caesio caerulaurea","Scissortail fusilier","Atule toto (Gold banded)"
"108","Rastrelliger brachysoma","Mackerel","Ga"
"109","Multi-genera Multi-species","Trevallies","Lalafutu"
"110","Multi-species Multi-species","Jacks","Lupoka, Ulua"
"111","Caranx lugubris","Black jack","Tafauli"
"112","Caranx sexfasciatus","Bigeye trevally","Malauli matalapoa"
"113","Caranx melampygus","Bluefin trevally","Malauli apamoana"
"114","Carangoides orthogrammus","Goldspot trevally","NULL"
"115","Caranx papuensis","Brassy trevally","Malauli sinasama"
"116","Carangoides caeruleopinnatus","Blue kingfish trevally","Lalafutu (Blue Kingfish)"
"117","Uraspis secunda","Whitemouth trevally","Malauli gutupae (Cottonmouth)"
"118","Seriola rivoliana","Amberjack","Tafala"
"119","Caranx ignoblis","Giant trevally","Sapoanae"
"120","Sphyraena spp.","Barracudas","Saosao"
"121","Sphyraena barracuda","Great barracuda","Sapatu (Great)"
"122","Sphyraena spp.","Small barracudas","Sapatu"
"123","Sphyraena forsteri","Bigeye barracuda","Sapatu (Bigeye)"
"124","Sphyraena helleri","Heller's barracuda","Sapatu (Heller's)"
"125","Sphyraena qenie","Blackfin barracuda","Saosao (Blackfin)"
"126","Seriola dumerilii","Greater amberjack","Malauli"
"127","Trachinotus blochii","Snubnose pompano","Alalafutu"
"130","Mugil cephalus","Mullets","Anae (Mullets), Agae (Mullets)"
"1301","Crenimugil crenilabis","Fringelip mullet","Fuafua"
"132","Exocoetus, Cheilopogon spp.","Flyingfishes","Malolo"
"133","Fistularia commersonii","Cornetfish","Taotao, Kaokaoama"
"134","Multi-genera Multi-species","Needlefishes","Au, Ise"
"138","Multi-genera Multi-species","Filefishes","Paumalo"
"139","Monodactylus argenteus","Silver batfish","Vale Vale"
"140","Polydactylus sexfilis, plebeius","Threadfins","Umiumia, SaeSae"
"143","Centropyge flavissima","Angelfish","Tuuu sama"
"1431","Pomacanthus imperator","Emperor angelfish","NULL"
"148","Multi-genera Multi-species","Pufferfishes","Sue"
"150","Multi-genera Multi-species","Sharks (unknown pelagic)","Malie (pelagic)"
"151","Prionace glauca","Blue shark","Malie (Blue)"
"153","Isurus oxyrinchus","Shortfin mako shark","Aso polota (Mako)"
"1531","Isurus paucus","Longfin mako shark","Malie (Longfin Mako)"
"154","Carcharhinus melanopterus","Blacktip reef shark","Malie alamata"
"1541","Carcharhinus albimarginatus","Silvertip shark","Aso"
"1542","Carcharhinus amblyrhynchos","Grey reef shark","Malie aloalo"
"1544","Triaenodon obesus","White tip reef shark","Malu"
